 AUSTENITE DECOMPOSITION MODEL
 RESULTS: for grain size=  40.0
  time steps        cooling rate, oC/s ("+" = cooling; "-" = heating)
50707   51.3 0.65 0.61 M      336.9
50708   51.3 0.65 0.61 M      336.9
50709   51.3 0.65 0.61 M      336.9
50710   51.3 0.65 0.61 M      336.9
50711   51.3 0.65 0.61 M      336.9
50712   51.3 0.65 0.61 M      336.9
50713   51.3 0.65 0.61 M      336.9
50714   51.3 0.65 0.61 M      336.9
50715   51.3 0.65 0.61 M      336.9
50716   51.3 0.65 0.61 M      336.8
50717   51.3 0.65 0.61 M      336.8
50718   51.3 0.65 0.61 M      336.8
50719   51.3 0.65 0.61 M      336.8
50720   51.3 0.65 0.61 M      336.8
50721   51.3 0.65 0.61 M      336.8
50722   51.3 0.65 0.61 M      336.8
50723   51.3 0.65 0.61 M      336.8
50724   51.3 0.65 0.61 M      336.8
50725   51.3 0.65 0.61 M      336.8
50726   51.3 0.65 0.61 M      336.7
50727   51.3 0.65 0.61 M      336.7
50728   51.3 0.65 0.61 M      336.7
50729   51.3 0.65 0.61 M      336.7
50730   51.3 0.65 0.61 M      336.7
50731   51.3 0.65 0.61 M      336.7
50732   51.3 0.65 0.61 M      336.7
50733   51.3 0.65 0.61 M      336.7
50734   51.3 0.65 0.61 M      336.7
50735   51.3 0.65 0.61 M      336.7
50736   51.3 0.65 0.61 M      336.6
50737   51.3 0.65 0.61 M      336.6
50738   51.3 0.65 0.61 M      336.6
50739   51.3 0.65 0.61 M      336.6
50740   51.3 0.65 0.61 M      336.6
50741   51.3 0.65 0.61 M      336.6
50742   51.3 0.65 0.61 M      336.6
50743   51.3 0.65 0.61 M      336.6
50744   51.3 0.65 0.61 M      336.6
50745   51.3 0.65 0.61 M      336.6
50746   51.4 0.65 0.61 M      336.5
50747   51.4 0.65 0.61 M      336.5
50748   51.4 0.65 0.61 M      336.5
50749   51.4 0.65 0.61 M      336.5
50750   51.4 0.65 0.61 M      336.5
50751   51.4 0.65 0.61 M      336.5
50752   51.4 0.65 0.61 M      336.5
50753   51.4 0.65 0.61 M      336.5
50754   51.4 0.65 0.61 M      336.5
50755   51.4 0.65 0.61 M      336.5
50756   51.4 0.65 0.61 M      336.4
50757   51.4 0.65 0.61 M      336.4
50758   51.4 0.65 0.61 M      336.4
50759   51.4 0.65 0.61 M      336.4
50760   51.4 0.65 0.61 M      336.4
50761   51.4 0.65 0.61 M      336.4
50762   51.4 0.65 0.61 M      336.4
50763   51.4 0.65 0.61 M      336.4
50764   51.4 0.65 0.61 M      336.4
50765   51.4 0.65 0.61 M      336.4
50766   51.4 0.65 0.61 M      336.3
50767   51.4 0.65 0.61 M      336.3
50768   51.4 0.65 0.61 M      336.3
50769   51.4 0.65 0.61 M      336.3
50770   51.4 0.65 0.61 M      336.3
50771   51.4 0.65 0.61 M      336.3
50772   51.4 0.65 0.61 M      336.3
50773   51.4 0.65 0.61 M      336.3
50774   51.4 0.65 0.61 M      336.3
50775   51.4 0.65 0.61 M      336.3
50776   51.4 0.65 0.61 M      336.2
50777   51.4 0.65 0.61 M      336.2
50778   51.4 0.65 0.61 M      336.2
50779   51.4 0.65 0.61 M      336.2
50780   51.4 0.65 0.61 M      336.2
50781   51.4 0.65 0.61 M      336.2
50782   51.4 0.65 0.61 M      336.2
50783   51.4 0.65 0.61 M      336.2
50784   51.4 0.65 0.61 M      336.2
50785   51.4 0.65 0.61 M      336.2
50786   51.4 0.65 0.61 M      336.1
50787   51.4 0.65 0.61 M      336.1
50788   51.4 0.65 0.61 M      336.1
50789   51.4 0.65 0.61 M      336.1
50790   51.4 0.65 0.61 M      336.1
50791   51.4 0.65 0.61 M      336.1
50792   51.4 0.65 0.61 M      336.1
50793   51.4 0.65 0.61 M      336.1
50794   51.4 0.65 0.61 M      336.1
50795   51.4 0.65 0.61 M      336.1
50796   51.4 0.65 0.61 M      336.0
50797   51.4 0.65 0.61 M      336.0
50798   51.4 0.65 0.61 M      336.0
50799   51.4 0.65 0.61 M      336.0
50800   51.4 0.65 0.61 M      336.0
50801   51.4 0.65 0.61 M      336.0
50802   51.4 0.65 0.61 M      336.0
50803   51.4 0.65 0.61 M      336.0
50804   51.4 0.65 0.61 M      336.0
